state_orig,dms_orig,county_orig,dms_dest,county_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
6,69,6049,49,4015,4,42,7,0.0008500827697137847,0.0012663745529797755
6,69,6049,49,4025,4,42,7,0.002538049251408716,0.003780950632931346
6,69,6053,49,4005,4,42,7,0.08962759020336551,0.13351888018699246
6,69,6053,49,4015,4,42,7,1.6067668004235597e-06,1.1247367602964916e-05
6,69,6053,49,4025,4,42,3,0.002031426876640465,0.04031518472093691
6,69,6053,49,4025,4,42,7,0.22831545078900323,0.34046495061278353
6,69,6079,49,4005,4,42,3,0.0006475862737397028,0.0114633571617853
6,69,6079,49,4005,4,42,7,0.011600469557198508,0.017319451896703576
6,69,6079,49,4025,4,42,3,0.0016440198282748125,0.02910189304004031
6,69,6079,49,4025,4,42,7,0.029451538270690386,0.04397961040088693
6,69,6083,49,4005,4,42,3,0.0007236547034768532,0.01221293772824163
6,69,6083,49,4005,4,42,7,0.09711450950248478,0.09722076003586129
6,69,6083,49,4025,4,42,3,0.0018371338763404316,0.031004844606674374
6,69,6083,49,4025,4,42,7,0.00021082172000372028,0.0004362684471978389
6,69,6089,49,4015,4,42,7,0.010510899964781335,0.029879650344986707
6,69,6099,49,4005,4,42,3,0.00037427959913400514,0.0009527117068865586
6,69,6099,49,4005,4,42,7,0.05190014124230834,0.07731602204741128
6,69,6099,49,4025,4,42,3,0.0013712095782393615,0.02512592036046549
6,69,6099,49,4025,4,42,7,0.13604018281891178,0.20454676063347263
6,69,6103,49,4015,4,42,7,0.006348915285793531,0.009458025786901057
6,69,6107,49,4001,4,42,3,8.889232544506543e-05,0.0017519725037495346
6,69,6107,49,4001,4,42,7,0.00517453032138032,0.008622286617712412
6,69,6107,49,4005,4,42,3,0.00418652132055649,0.08251185018788731
6,69,6107,49,4005,4,42,7,0.004124592229239829,0.007955526737324865
6,69,6107,49,4015,4,42,7,0.011531380735067577,0.010772205685276884
6,69,6107,49,4025,4,42,7,7.28784625950435e-07,5.101492381653045e-06
6,69,6109,49,4001,4,42,7,3.411691545635217e-05,5.082421982818618e-05
6,69,6109,49,4005,4,42,3,2.889858943908795e-06,5.115532333614865e-05
6,69,6109,49,4005,4,42,7,0.0016067888114583056,0.002393645107674061
6,69,6109,49,4025,4,42,3,7.3364516781172914e-06,0.0001298674312547917
6,69,6109,49,4025,4,42,7,0.0040791362834681705,0.006076719316708229
8,81,8001,49,4001,4,42,4,0.0007406820647305168,0.0007809437310785623
8,81,8001,49,4005,4,42,7,3.423855407928131e-06,4.460863645812656e-05
